+ACM- x+AF8-means, y+AF8-means, theta+AF8-means
+AC0-109.2734,+AC0-101.337,+AC0-2.0878
+AC0-106.4432,+AC0-99.0096,+AC0-2.1088
+AC0-106.7756,+AC0-99.332,+AC0-2.0976
+AC0-106.719,+AC0-99.3026,+AC0-2.093
+AC0-106.7042,+AC0-99.2226,+AC0-2.1174
+AC0-106.7024,+AC0-99.2204,+AC0-2.1146
+AC0-107.784,+AC0-100.2024,+AC0-2.1
+AC0-107.7904,+AC0-100.1474,+AC0-2.1046
+AC0-106.3724,+AC0-99.008,+AC0-2.0904
+AC0-107.4476,+AC0-99.872,+AC0-2.1096
+AC0-107.41,+AC0-99.89,+AC0-2.1
+AC0-107.136,+AC0-99.751,+AC0-2.0788
+AC0-107.3676,+AC0-99.854,+AC0-2.0996
+AC0-106.4404,+AC0-99.122,+AC0-2.1096
+AC0-106.3926,+AC0-99.0264,+AC0-2.0904
+AC0-106.838,+AC0-99.402,+AC0-2.093
+AC0-106.0348,+AC0-98.7308,+AC0-2.1144
+AC0-106.6514,+AC0-99.178,+AC0-2.1172
+AC0-107.8994,+AC0-100.2984,+AC0-2.1002
+AC0-106.35,+AC0-98.99,+AC0-2.09
